n,const_,sum_,prod_,direct_poly,horners_poly,bubblesort.sort,quicksort.sort,timsort.sort,matrix_mult
20,5.247999979474116e-07,2.1612000000459376e-05,1.96462000531028e-05,6.893400041008135e-06,7.180200009315741e-06,3.76347999463178e-05,3.905319999830681e-05,3.332540004521434e-05,7.070000083331251e-06
21,5.697999768017325e-07,2.1164400095585734e-05,1.9413600011830567e-05,7.28960003471002e-06,7.024599972282885e-06,4.3311999979778194e-05,4.091139999218285e-05,3.5692999972525286e-05,7.535800023106276e-06
22,5.504000910150353e-07,2.1080799979245057e-05,1.9754200002353174e-05,7.518200072809123e-06,7.390400060103275e-06,4.606960005730798e-05,4.304639996917103e-05,3.739960002349108e-05,7.766400040054578e-06
23,5.942000370851019e-07,2.1041199897808837e-05,1.9885199935743004e-05,7.567000011476921e-06,7.695600015722447e-06,5.0919600016641195e-05,4.5198400039225815e-05,4.052659996887087e-05,8.40780003272812e-06
24,5.949999831500463e-07,2.1087600089231273e-05,2.0125800074310973e-05,7.945800052766572e-06,7.706000042162487e-06,5.29571999777545e-05,4.698300003838085e-05,4.121679999116168e-05,8.021000030566939e-06
25,5.821999366162345e-07,2.124839993484784e-05,2.008639994528494e-05,7.946399955471862e-06,7.834999996703118e-06,5.566120007642894e-05,4.9154400039697065e-05,4.07494000683073e-05,8.767000053921947e-06
26,5.341999440133805e-07,2.1238000044832006e-05,2.0145000007687486e-05,8.256400087702787e-06,8.144399998855079e-06,6.232760006241733e-05,5.161320004845038e-05,4.6587000042563886e-05,9.270200007449602e-06
27,5.739999323850497e-07,2.1268799991958075e-05,1.9971199981227984e-05,8.595399958721827e-06,8.326799979840871e-06,6.716099996992853e-05,5.416020003394806e-05,4.711960009444738e-05,1.0180600020248675e-05
28,5.882000095880358e-07,2.2155000078782904e-05,1.9961599946327624e-05,8.680599967192392e-06,8.523599990439835e-06,7.282540000232984e-05,5.6537000000389524e-05,4.88944000153424e-05,9.466800020163645e-06
29,5.825999778608093e-07,2.140080005119671e-05,2.026040006057883e-05,8.968599968284251e-06,8.55959997352329e-06,7.81545999871014e-05,5.814880000798439e-05,5.216259996814188e-05,1.028100004987209e-05
30,5.801999577670358e-07,2.1787999958178262e-05,1.9792600005530404e-05,9.0730000010808e-06,8.938600012697862e-06,8.178440007213794e-05,6.056240003999846e-05,5.374679999476939e-05,1.0705800013965927e-05
31,5.607999810308683e-07,2.1363200039559162e-05,2.0651399972848593e-05,9.232200000042212e-06,9.028400063471053e-06,8.71772000209603e-05,6.288740000854886e-05,5.877820003661327e-05,1.2077999917892157e-05
32,6.492000011348864e-07,2.1834200015291572e-05,2.1068800015200396e-05,9.53659991864697e-06,9.142399994743755e-06,9.703040000204055e-05,6.452179995903861e-05,6.31752000117558e-05,1.128179997067491e-05
33,5.321999196894467e-07,2.1441000080812954e-05,2.0371400023577734e-05,9.791199954634066e-06,9.867799963103608e-06,9.899280007630296e-05,6.693280001854874e-05,6.009199992149661e-05,1.1937399904127233e-05
34,5.655999757436803e-07,2.153720001842885e-05,2.0408599948495975e-05,9.780799973668764e-06,9.583399923940306e-06,0.00010720299997046823,7.176819995038385e-05,6.432860000131768e-05,1.2637799954973161e-05
35,5.938000867899973e-07,2.1936800021649105e-05,2.0412400044733658e-05,1.035900004353607e-05,9.897599966279813e-06,0.00011112759993920917,7.217319994197169e-05,6.693519994769304e-05,1.3593599942396394e-05
36,4.817999524675543e-07,2.1321400026863557e-05,2.0249999988664057e-05,1.0384799952589675e-05,9.91659994724614e-06,0.00011972739994234872,7.348739995904907e-05,6.857380008113978e-05,1.2798199986718827e-05
37,5.605999831459485e-07,2.1601199978249497e-05,2.0462800057430287e-05,1.0789399993882398e-05,1.0047000023405417e-05,0.000123049199964953,7.618660001753596e-05,7.019080003374256e-05,1.4010199947733781e-05
38,5.018000138079514e-07,2.1929399963482865e-05,2.0543000027828383e-05,1.0841800076377694e-05,1.0112399968420504e-05,0.0001330307999978686,7.876379995650496e-05,7.349819989030948e-05,1.4998200140325934e-05
39,5.36800052941544e-07,2.1833599976162078e-05,2.0498999901974457e-05,1.1109400065834053e-05,1.0549399985393392e-05,0.00014040199994269642,8.091960003184795e-05,7.666039996365726e-05,1.577580005687196e-05
40,5.80200048716506e-07,2.1723200006817933e-05,2.0382200091262348e-05,1.1278000010861433e-05,1.0559400016063591e-05,0.00014609619997827395,8.360240008187247e-05,7.988300003489713e-05,1.4509399989037775e-05
41,5.622000571747776e-07,2.1995200040691997e-05,2.120540007126692e-05,1.1532400048963608e-05,1.0858999985430273e-05,0.00015212339999379765,8.49752000249282e-05,8.256320002146822e-05,1.6771199989307205e-05
42,5.605999831459485e-07,2.2176200036483352e-05,2.0376000020405626e-05,1.1739800038412796e-05,1.1112199990748195e-05,0.00016142740000759658,8.764359999986482e-05,8.628740001768165e-05,1.6562800055908156e-05
43,6.186000064190012e-07,2.1802800029036006e-05,2.0490600081757294e-05,1.173099994957738e-05,1.1204199972780771e-05,0.00016650640000079875,8.94837999567244e-05,8.759759998611116e-05,1.7852199925982858e-05
44,5.126000814925646e-07,2.20460000946332e-05,2.090240004690713e-05,1.200399992740131e-05,1.1521000033098971e-05,0.00017663459998402687,9.176520002256439e-05,9.083219997592095e-05,1.686720001998765e-05
45,5.228000190982129e-07,2.2230800004763297e-05,2.0867999955953566e-05,1.2095599959138782e-05,1.1431400025685434e-05,0.00018291520004822814,9.62770000569435e-05,9.335160007140075e-05,1.8710600079430152e-05
46,7.412000286421972e-07,2.41484000980563e-05,2.0724199976029924e-05,1.2388800041662761e-05,1.1793000021498301e-05,0.00019218040001760527,9.675840005911596e-05,9.82978000138246e-05,1.970859998436936e-05
