n,const_,sum_,prod_,direct_poly,horners_poly,bubblesort.sort,quicksort.sort,timsort.sort,matrix_mult
356,1.243599990630173e-06,9.308419998887985e-05,0.00010319059992980328,0.00023688460000812484,0.00023037760006445752,0.021860861799905252,0.0009204941999996664,0.0012688309999703052,0.0008575935999942885
357,1.2831999811169226e-06,9.565979999024422e-05,0.00010238680001748435,0.00023824099998819291,0.0002312744000391831,0.021887998800002605,0.0009224842000094214,0.0012703304000297067,0.0008370129999548225
358,1.2215999504405773e-06,9.326080007667769e-05,0.00010554659997978888,0.0002392432000306144,0.0002317742000286671,0.02201468920006846,0.0009233896000296227,0.001278394400014804,0.0008419391999723302
359,1.273199995921459e-06,9.477980001975084e-05,0.0001041900000473106,0.00024167920005311317,0.0002319021999483084,0.0213911793999614,0.0009271610000268993,0.0012749064000217914,0.0008406705999732366
360,1.432999988537631e-06,9.587999993527773e-05,0.00010391399991931394,0.0002407987999959005,0.0002339306000067154,0.021985540000014226,0.0009284334000312811,0.001334424400010903,0.0008464477999950759
361,1.184599977932521e-06,9.449080012018385e-05,0.00010396140010016097,0.00024329719999514055,0.00023450240000784107,0.022682807000046525,0.0009328162000201701,0.0012812260000828247,0.0008613856000465603
362,1.1717999313987092e-06,9.358039997096058e-05,0.0001055915999586432,0.0002411740001207363,0.0002343753999866749,0.02208945079996738,0.0009354236000490346,0.0012811260000034964,0.0008650848000343103
363,1.3148000107321422e-06,9.554660005051119e-05,0.00010391460000391817,0.00024191479997170973,0.00023459399994862906,0.022115104600061386,0.0009373999999752414,0.001292176400011158,0.0008499064000261569
364,1.4037999790161847e-06,9.406080002918315e-05,0.00010351060000175493,0.00024455239995404556,0.0002353355999730411,0.02219705719999183,0.0009384216000398737,0.0012986105999971188,0.0008860272000219993
365,1.3401999694906408e-06,9.657359996708692e-05,0.00010418699998808734,0.00024259239999082637,0.0002357555999424221,0.02230265900006998,0.0009449772000152734,0.0013131965999491513,0.0008696227999735129
366,1.1193999853276182e-06,9.550459999445593e-05,0.00010458140004629968,0.00024540720000914006,0.00023705380008323118,0.022190522399978364,0.0009491557999808719,0.001313053800004127,0.0008729139999559266
367,1.2697999409283512e-06,9.558359993206977e-05,0.00010472920002939645,0.00024397239994868868,0.0002381352000611514,0.022271355399925596,0.0009479884000484162,0.0013144107999778498,0.0008689669999967009
368,1.2986000001546927e-06,9.275519996663207e-05,0.00010578719998193265,0.0002462732000367396,0.00024058839999270277,0.02207953679999264,0.0009491025999977864,0.0013786811999580094,0.000875460999986899
369,1.2103999779355946e-06,9.428699995623901e-05,0.00010371919997851365,0.0002468480000970885,0.00024103559999275604,0.022473683599946524,0.0009512346000065009,0.0013302274000125181,0.0008933962000355677
370,1.1672000255202875e-06,9.640639996177924e-05,0.00010412240003461193,0.00024714599999242637,0.00024195099999815283,0.02255871939996723,0.0009571370000230672,0.00133029860003262,0.0009036653999828559
371,1.2861998584412504e-06,9.510539998700552e-05,0.00010559879992797506,0.0002483347999714169,0.00024317360007444221,0.02253850600000078,0.0009588500000063504,0.0013333935999526147,0.0008882862000518799
372,1.3948001196695258e-06,9.535700000924407e-05,0.00010466960002304404,0.0002491785999154672,0.00024466940008096574,0.022542344000066807,0.0009612163999918266,0.0013380998000684485,0.0009223040000506444
373,1.25619999380433e-06,9.875040004772017e-05,0.00010622779996083409,0.00024945459990703965,0.00024464740004077613,0.022762142799956565,0.0009692713999811531,0.0013576503999502166,0.000904344199989282
374,1.5549999716313323e-06,9.663780006121669e-05,0.00010578439996606903,0.0002502494000509614,0.0002460762001192052,0.022612050400039153,0.0009710570000152074,0.001359251000030781,0.0014964407999741524
375,1.147600005424465e-06,7.870879999245517e-05,8.171759996002947e-05,8.995400007734133e-05,8.61232000261225e-05,0.02198864940000931,0.0009720734000438824,0.0013578277999840792,0.0008944353999595478
376,1.400199971612892e-06,9.885939998639514e-05,0.00010642080001161957,0.0002516888000172912,0.00024399379999522352,0.02257413440001983,0.0009733999999752996,0.0014181146000282752,0.0009104757999466529
377,1.2395998965075705e-06,9.574460004841967e-05,0.00010667940000530507,0.0002507513999717048,0.0002477676000125939,0.022845787599999313,0.0009809898000185057,0.0013727630000630597,0.0009042663999025535
378,1.2896000043838284e-06,9.630720001041482e-05,0.00010779520002870412,0.00025179799999932586,0.0002484102000835264,0.022842163599989362,0.000983563799991316,0.001373862599984932,0.0009164973999759241
379,1.1118000202259282e-06,9.637360003580397e-05,0.00010593480001261924,0.0002536000000418426,0.0002490773999852536,0.022992737600043257,0.0009892080000554414,0.0013695903999632719,0.0009311904000242066
380,1.2679999599640723e-06,9.70148000305926e-05,0.00010608840002532816,0.00025368219999108985,0.000248222799928044,0.0229189027999837,0.0009855365999555943,0.0013891780000449216,0.0009336074000202643
381,1.2048000371578381e-06,9.64663999639015e-05,0.0001060901999608177,0.00025401119992238816,0.0002496747999884974,0.023988427000040245,0.0009872072000689514,0.0013890565999645332,0.0009276009999211965
382,1.2526000318757724e-06,9.736060005707258e-05,0.00010705760000746522,0.0002551386000050115,0.0002503412000351091,0.023062580199939474,0.0009932928000125686,0.0014008577999902628,0.0009617392000109248
383,1.3979999948787736e-06,9.712179999041837e-05,0.00010804020002979087,0.00025513019991194594,0.00025061259993890416,0.022664501600047515,0.0009958389999610517,0.0014050172000224848,0.0010110572000030515
384,1.32620002659678e-06,9.696480005914055e-05,0.00010844780008483213,0.00025914900002135257,0.00025320859999737876,0.023238295200007995,0.0009950077999747009,0.0014636351999797626,0.0009426593999705801
385,1.3708000096812612e-06,9.815979997256364e-05,0.0001090648000172223,0.00026033559993265953,0.000253225999949791,0.02306299799993212,0.0009967280000182654,0.0014059346000067307,0.001114712800062989
386,1.4215999726729933e-06,9.602879999874858e-05,0.0001131917999828147,0.0002601159999812808,0.00025352539992127274,0.02310886319992278,0.0010030405999714275,0.0014179119998971145,0.0011188586000116629
387,1.2258000424480996e-06,9.867940002550313e-05,0.0001070078000338981,0.0002612096000575548,0.0002553008000631962,0.023311675999957517,0.0010119139999915205,0.0014131896000435518,0.0010780869999962306
388,1.315400004386902e-06,9.870560002127604e-05,0.00010916319993157231,0.00025954979992093286,0.00025517180006318085,0.023351287199966465,0.0010059575999548543,0.0014279442000315612,0.001148856000008891
389,1.296399932471104e-06,9.813319998102088e-05,0.00010805820006680733,0.0002610226000342664,0.00025622079997447147,0.023392183200076033,0.0010112656000274,0.0014268064000134474,0.0011198991999663121
390,1.3269999726617242e-06,0.00010040939991995401,0.00010764159997052047,0.0002638372000092204,0.00025790280001274367,0.02348422959994423,0.0010142760000235284,0.0014455246000125044,0.0011549527999704877
391,1.2073999641870615e-06,9.775480002645054e-05,0.00011067579998780275,0.0002613587999803713,0.00025575620002200595,0.02351523260003887,0.0010177169999678881,0.001434263800001645,0.001101442400022279
392,1.3110000509186648e-06,0.00010045039998658467,0.00010885200003940554,0.0002615989999867452,0.0002574025999820151,0.023540051800000582,0.001021199400020123,0.0015149287999975058,0.0011200333999113355
393,1.2060000244673575e-06,9.87904000794515e-05,0.00010831519994098926,0.00026395500012768027,0.00025727900001584205,0.023590399599970623,0.0010226029999557795,0.001455374600027426,0.0016864184000496608
394,1.0379999821452657e-06,8.212259999709203e-05,9.079100009330432e-05,0.00022057880000829754,0.00021726280006078013,0.023586058399996546,0.0010278784000092855,0.001461022800003775,0.0011885976000030496
395,1.191199999084347e-06,9.800120001273172e-05,0.00011064579998674163,0.0002665909999905125,0.00025996380004471574,0.02371749379999528,0.001028692600038994,0.0014686483999867051,0.0011876909999955388
396,1.175600027636392e-06,0.00010346500002924585,0.00010945160001938348,0.0002645740000389196,0.0002606756000659516,0.02369961240005978,0.0010301311999683094,0.0014617832000112685,0.0012128780000239202
397,1.2358000276435632e-06,9.948400002031121e-05,0.00010960300005535828,0.0002682039999854169,0.0002619764000428404,0.023847459199987497,0.0010327967999728572,0.001460471000018515,0.0012039765999816154
398,1.4159999409457668e-06,0.00010268579999319626,0.00011031119997824134,0.00026903379994109856,0.00026300160011487604,0.023867542200014212,0.0010356153999509844,0.0014782493999973667,0.0012183698000626463
399,1.2771999990945915e-06,0.00010090219998346584,0.00010945680000986612,0.00026793600004566543,0.0002611756000078458,0.023771024000006948,0.0010410985999442345,0.00149374299990086,0.001185553599952982
400,1.251599996976438e-06,0.00010009559996433381,0.00011188439993929933,0.000270217200022671,0.0002617719999761903,0.023954785600017202,0.0010416756000267923,0.0015489958000216575,0.0012008156000320013
401,1.2588000572577585e-06,0.00010102120004376047,0.00010943139996015816,0.000269562199991924,0.00026489900005799427,0.02032290959996317,0.001052131400001599,0.0015257802000178343,0.0012162024000190285
402,1.3159999980416615e-06,0.0001021036000111053,0.00010996800001521479,0.0002691630000299483,0.000264571799971236,0.024060096799939857,0.0010460408000199095,0.0014910168000369594,0.0012183924000055413
403,1.4087999716139165e-06,0.00010043460006272653,0.00011201999996046652,0.0002691128000151366,0.00026461320003363654,0.024098167999954966,0.0010585310000351456,0.0015308875999835436,0.001246337999964453
404,1.3220000255387276e-06,0.00010391700002401194,0.00011124199991172646,0.00027271060012026285,0.00026742480004031676,0.02413000520004971,0.0010518695999508054,0.00151414040005875,0.001248699600000691
405,1.4368000393005787e-06,9.977119998438866e-05,0.00011065300004702295,0.0002702876000057586,0.00026639759989848243,0.024281776199995875,0.0010698349999984202,0.0015367708000667336,0.001261889599982169
406,1.2535999303509015e-06,0.00010056080000140356,0.00011170500001753681,0.000272421999989092,0.0002670192000550742,0.024333569200007333,0.0010605391999433777,0.0015279051999641524,0.0012721740000415593
407,1.4526000086334535e-06,0.00010000320003200613,0.00011131740002383595,0.00027297260003251723,0.00026851140000871965,0.024313291799944636,0.0010723385999426682,0.001540906999980507,0.0012135546000081377
408,1.3117999969836092e-06,0.0001009786000395252,0.00011099080006715667,0.0002737089999300224,0.00026711040000009233,0.024376933599978657,0.001063528399936331,0.0015917104000436667,0.0012660011999741983
409,1.4837999970040983e-06,0.00010168840003643709,0.00011476680001578642,0.0002720307999425131,0.00027193800005989035,0.024585409000019355,0.0010765779999928782,0.0015467379999790864,0.0012847205999605648
410,1.2210000022605527e-06,0.0001014766000025702,0.00011138500003653462,0.00027686780003932654,0.00027361780003047896,0.024492777800014666,0.0010706193999794778,0.00155228920002628,0.0012978485999610712
411,1.184599977932521e-06,0.00010052799993900407,0.00011173859998052649,0.00027505799998834847,0.0002734456000325736,0.025386477999973067,0.001086702000020523,0.0015612854000210063,0.0013307205999353755
412,1.0684000244509662e-06,0.00010212299998784147,0.000110051600040606,0.000279452399990987,0.0002724345999467914,0.024598884400074895,0.0010799033999319362,0.0015395419999549632,0.0012945949999448203
413,1.4432000170927494e-06,0.00010628520003592712,0.0001114429999688582,0.0002758872000413248,0.0002742381999723875,0.025213839800017013,0.0010855626000193298,0.0015613130000019736,0.0013175954000416823
414,1.3735999800701392e-06,0.00010178960005760018,0.00011204880001969286,0.00027960739994341565,0.00027490459997352444,0.024434403799978098,0.0010874067999793624,0.0015638090000265948,0.0013240125999800512
415,1.2727999546768843e-06,0.00010093119999510236,0.00011239559999012271,0.0002768918000128906,0.00027486620001582196,0.02488664659999813,0.0010935962000530707,0.0015620906000094691,0.0013381260000187468
416,1.222400032929727e-06,0.00010155919999306206,0.00011158140005136374,0.0002789342000596662,0.00027331399996910477,0.02480984260000696,0.0010904294000283698,0.0016194603999338142,0.00130479459999151
417,1.206799970532302e-06,0.00010101900002155162,0.00011197199992238894,0.0002786464000564592,0.00027274819995000145,0.024721639600056734,0.001092977000052997,0.0015832910000881384,0.001364636000016617
418,1.1363999874447472e-06,0.00010292199995092233,0.00011180440001226088,0.0002825351999945269,0.00027563720004764036,0.0248659379999026,0.0010976275999837527,0.0015736527999706596,0.0013561751999986882
419,1.2937999599671458e-06,0.0001013500000226486,0.00011422219995438354,0.00028164979999019125,0.0002763022000181081,0.024806515400041463,0.001100651399974595,0.0015881871999681608,0.001352502200006711
420,1.4789999568165512e-06,0.00010255819988742587,0.00011272399997324101,0.0002839074000803521,0.00027617720006674064,0.025009202000001098,0.0011027796000234956,0.0015925689999676251,0.001370002600015141
421,1.4908000139257637e-06,0.00010387880001871963,0.00011238600004617182,0.0002840149999883579,0.00028008039998894674,0.025111688599918126,0.0011044646000300418,0.0015945021999414165,0.0013796182000533007
422,1.3406000107352157e-06,0.00010168640005758789,0.00011259279990554205,0.0002830389999871841,0.00027677400003085496,0.02503259960003561,0.0011108019999937825,0.0016132499999912397,0.001382646999991266
423,1.2228000741743016e-06,0.00010817739994308794,0.0001130632000240439,0.00028635100006795254,0.0002790107999771863,0.02515161639994403,0.001107618999958504,0.00161358499999551,0.001379785799963429
424,1.4816000202699797e-06,0.00010572760002105496,0.00011232259998905647,0.0002849063999747159,0.0002782283999295032,0.024997731799976462,0.001112886000009894,0.0016734615999666857,0.0013926527999046812
425,1.2124000022595282e-06,0.0001021633999698679,0.00011343020005369909,0.00028633140004785673,0.00027869279997503325,0.025320632400053,0.0011189988000751328,0.0016188680000141175,0.0014163973999529844
426,1.1870000435010298e-06,0.0001053061999300553,0.00011190440000063973,0.00028649600003518574,0.00028132540005572083,0.02524475660002281,0.0011202594000224054,0.00161920900000041,0.001432837800030029
427,1.2478000371629604e-06,0.00010258900006192562,0.00011611999998422107,0.0002863637999780622,0.0002796828000100504,0.025416874799930156,0.0011242463999678876,0.001635243199962133,0.0014190994000273349
428,1.2661999789997936e-06,0.00010371260009378602,0.00011351839989401925,0.0002899067999351246,0.0002825060000304802,0.025517769399993995,0.0011290753999219304,0.0016296034000333748,0.0014651411999693665
429,1.1380000159988413e-06,0.00010524180006541429,0.00011303559995212709,0.0002906661999531934,0.00028194460005579456,0.025481004199946256,0.001126705199976641,0.0016386192000027223,0.0014489870000488736
430,1.1730000096576986e-06,0.00010737480006355327,0.00011561559999790915,0.0002882266000142408,0.00028289739998399455,0.025627058399959424,0.0011299488000076964,0.0016521926000677921,0.0014477944000191201
431,1.12419998004043e-06,0.00010465879995535943,0.00011373740003364218,0.0002882532000512583,0.0002836850000221602,0.02551541260004342,0.001138834399944244,0.0016501422000601452,0.0014442251999753353
432,1.1665999863907928e-06,0.00010349599997425685,0.0001146638000591338,0.00029109440001775513,0.0002829521999501594,0.0258219189999636,0.0011426950000441138,0.00172281679997468,0.0014479429999482818
433,1.3956000202597351e-06,0.00010585760005596967,0.00011449940006968973,0.00029089479999129254,0.00028361179997773436,0.025887704999968265,0.001141321999966749,0.0016718435999791836,0.0014865562000068167
434,1.2754000636050477e-06,0.00010397339997325616,0.00011439840000093682,0.0002923360000295361,0.00028475120002440234,0.02593180140002005,0.0011471895999875415,0.0016751915999975609,0.0014892319999489701
435,1.3514000329450937e-06,0.00010423960002299281,0.00011516540002958209,0.00029454020004777705,0.0002865061999727914,0.025851334599974508,0.001147835799929453,0.0016771681999671272,0.0015018526000403654
436,1.3144000149623026e-06,0.00010401779991298099,0.00011652940006570133,0.00029489859994100696,0.00028679360007117795,0.025941499000009572,0.001152392400035751,0.001674737199982701,0.0015097755999704532
437,1.2441999388101977e-06,0.00010509879998608085,0.00011478860001261637,0.00029577679993053607,0.00028808739998567037,0.025972593599999528,0.0011573848000352883,0.0016802583999833587,0.001510953800061543
438,1.1548000202310505e-06,0.0001048827999511559,0.00011581740004658058,0.000297651400023824,0.00028817060006076646,0.02620142900004794,0.001157253800010949,0.0016962717999831512,0.0015199200000097334
439,1.1759999779314966e-06,0.00010670359993127931,0.0001145759999872098,0.0002957759999844711,0.0002890321999984735,0.02615501340001174,0.0011596995999298087,0.0017059158000392927,0.0015050301999963267
440,1.2760000117850724e-06,0.0001063581999460439,0.00011610480000854296,0.00029605600002469146,0.000290004000044064,0.02601220699998521,0.0011628525999185513,0.0017557227999986935,0.001510112400046637
441,1.2000000424450263e-06,0.00010546960002102423,0.00011751860006370407,0.00029594560000987256,0.0002888789999360597,0.02627599719999125,0.0011652444000446848,0.0017024434000632027,0.0015557021999939025
442,1.2259999039088142e-06,0.00010746920002020488,0.00011508839997986797,0.0002972562000195467,0.00029128260002835303,0.026296141999910105,0.001171159399973476,0.0017105158000049413,0.0015381148000415124
443,1.2583998795889784e-06,0.00010536680006225651,0.00011602119989220227,0.000297416199964573,0.0002904545999626862,0.026488758799996504,0.0011728951999884884,0.0017380881999997655,0.0015437683999607542
444,1.1130000984849176e-06,0.00010659279996616533,0.0001162189999831753,0.00029969120005262083,0.00029168600008233625,0.026468952800041735,0.0011751652000384638,0.0017368891999922198,0.0015830972000003384
445,1.397200003339094e-06,0.00010509679996175691,0.00011580500004129135,0.00029808360004608404,0.00029254060000312166,0.026375109000036902,0.001183597999943231,0.0017331166000076337,0.0015740547999939735
446,1.3222000234236476e-06,0.00010666259995559813,0.00011701759999596106,0.0002989062000779086,0.00029307600002539405,0.026773103199957404,0.0011804475999724674,0.0017350101999454638,0.0015616430001045955
447,1.14780004878412e-06,0.00010651239995240758,0.00011744220000764471,0.00030167400000209456,0.0002948534000097425,0.026586616399981722,0.001185557400003745,0.0017359567998937564,0.0015574131999983366
448,1.1972000720561481e-06,0.00010741739997683908,0.00011714219995155873,0.00030057199996917915,0.00029572580010608365,0.026781688999972176,0.0011856211999656807,0.0018111244000465377,0.0015462383999874873
449,1.3345999377634143e-06,0.00010578259993963002,0.000118062599995028,0.0003014467999946646,0.00029707499998039567,0.026720986799955427,0.0011907288000202244,0.0017595692000213603,0.0021609880000141857
450,1.3765999483439372e-06,0.00010588260001895833,0.00011828220003735623,0.00030284979998214113,0.0002972773999772471,0.0267408599999726,0.001191459199981182,0.001755830000001879,0.0015780893999817636
451,1.1332000667607644e-06,0.00010743339994405688,0.00012045020002915408,0.00030351539994626363,0.00029789700001856543,0.026780310799995276,0.0011961379999320342,0.0017703125999560144,0.0015764199999921402
452,1.1803999768744688e-06,0.0001082295999822236,0.00011807759988187172,0.00030363680002665205,0.0002992937999351852,0.026773574600065332,0.001199456399990595,0.0017611440000564471,0.0016044614000293223
453,1.1373999768693466e-06,0.000108695600010833,0.00011850939999931142,0.00030263520002336006,0.0002991351999753533,0.026924384799986,0.001202465799951824,0.0017739878000611498,0.0016108150000036404
454,1.180400022349204e-06,0.00010958920001939987,0.00012198999997963256,0.00030835659995318563,0.0002997786000378255,0.02700398080000923,0.0012029799999709212,0.0017866228000002593,0.0016160902000592614
455,1.2459999652492115e-06,0.00010864780001611507,0.00011766180004997295,0.00030535940004483564,0.0003014800000073592,0.026961365599981947,0.0012074381999809703,0.0017882980000649695,0.001611928399961471
456,1.2626000170712358e-06,0.00010855540003831265,0.00012031060000481376,0.0003067674000703846,0.00030070919992795095,0.02718271239996284,0.0012172826000096393,0.0018686106000586733,0.0016092520000256627
457,1.1777999588957755e-06,0.00010876440005631593,0.00011960919991906848,0.00030641140006082423,0.00029971920002935803,0.027317442800040226,0.0012143013999320828,0.0018082393999975465,0.0016113892000248597
458,1.38820000756823e-06,0.000109005599961165,0.00011912019995179435,0.00030655880004815117,0.0003012303999639698,0.027315038400001868,0.0012183433999780392,0.001806274599948665,0.0016341215999545965
459,1.2873999821749749e-06,0.00010927559997071512,0.00012292599994907506,0.00030780800007050856,0.00030379939994418237,0.02704903340004421,0.0012181757999769616,0.0018567264000466821,0.0016833793999467162
460,1.4306000593933276e-06,0.00010927459998129052,0.00012119440002607007,0.0003104275999703532,0.0003037131999917619,0.02728762960000495,0.0012219807998917532,0.001824841799952992,0.001663016600014089
461,1.3549999493989162e-06,0.00010962319997815939,0.00011916040002688533,0.00031058519998623525,0.00030475360008495043,0.02777617719993941,0.0012241225999332528,0.0018177946000378143,0.0017051956000159406
462,1.321600029768888e-06,0.0001080602000001818,0.00011908539995602041,0.00031100479995984644,0.0003037290000520443,0.027270047399997565,0.001230334599949856,0.001840481599992927,0.0017020852000314336
463,1.1175999588886042e-06,0.00010879660003411118,0.00011972540000897425,0.000311746200077323,0.00030580579996239974,0.02770742079997035,0.0012316879999616503,0.0018412298000384908,0.0016922647999763284
464,1.2376000086078421e-06,0.00010881719995268214,0.00012041459990541625,0.00031353780000245026,0.0003048038000088127,0.027664363799976853,0.0012380236000353762,0.0019071167999754834,0.0016599162000602518
465,1.1231999451410956e-06,0.00010926979994110297,0.00012175079996268323,0.0003143209999507235,0.00030515359999299107,0.027640200000041658,0.001236843000015142,0.0018630940000548435,0.0017260097999496793
466,1.3068000043858774e-06,0.00010984220002683288,0.00012000520000583492,0.00031419560004906086,0.00030729780005458454,0.027505472600023496,0.0012398009999742498,0.0018834808000065095,0.0017348023999147698
467,1.474800001233234e-06,0.00010850540002138587,0.00011878579989570426,0.0003145774000131496,0.0003076960000271356,0.027729327600036414,0.0012457272000574449,0.001902692599924194,0.001709346400002687
468,1.3085999853501561e-06,0.00011040539993700804,0.00011945640003432345,0.0003155033999973966,0.00030822799999441486,0.02793779919998087,0.001245377399982317,0.001894066799968641,0.0017679348000001482
469,1.166400033980608e-06,0.0001088411999262462,0.00011957520005125843,0.00032061200008683957,0.0003094530000453233,0.027876127599938627,0.0012504891999924439,0.001898097800085452,0.00419781019995753
470,1.2328000593697652e-06,0.00010995259995070228,0.00012124299996685295,0.0003188119999776973,0.00030900840001777394,0.02803436080002939,0.001260887599983107,0.0019153207999352162,0.0017593766000572942
471,1.492000001235283e-06,0.00010997220001627284,0.0001211526000588492,0.0003181003999998211,0.0003113214000222797,0.028093844200111562,0.0012640526000268436,0.0019017200000689626,0.0017160528000204067
472,1.4261999240261502e-06,0.00011036860005333437,0.00012020019998999487,0.00031879360003586046,0.0003120905999821844,0.02796730039999602,0.0012743304000196077,0.0019774033999965467,0.0017598320000161039
473,1.2104000234103295e-06,0.00010966459994961042,0.00012199379998492076,0.0003183868000178336,0.00031130140000641405,0.028117230199904954,0.001274712000031286,0.0019104454000625991,0.0017469693999828451
474,1.3375999515119474e-06,0.00011118919992441079,0.00012027239999952144,0.00032094980006149856,0.0003124834000118426,0.028174722199992175,0.0012766003999786335,0.0019155339999997524,0.0017514867999125273
475,1.216200053022476e-06,0.00011283180006103067,0.00012210960003358195,0.00032023099993239157,0.00031395720002365125,0.028223702000059348,0.001275156200017591,0.001924956400080191,0.001759722600081659
476,1.4165999800752615e-06,0.00011210760007998032,0.00012132360002397036,0.0003210813999430684,0.0003162861999953748,0.028696428200009904,0.001284517800058893,0.0019213891999697807,0.0017548573999647487
477,1.2974000128451734e-06,0.00011174120004397992,0.00012164260001554795,0.0003222154000013688,0.0003179505999924004,0.029626169600078356,0.0012857946000167431,0.0019168322000041372,0.001771308199977284
478,1.304400029766839e-06,0.00011237700000492623,0.00012215800006742938,0.0003251715999795124,0.0003195003999735491,0.02951892279997992,0.0012846713999806526,0.0019428578000770357,0.0017858906000583375
479,1.2824000350519782e-06,0.00011480080002002069,0.0001234167999427882,0.00032751920007285663,0.0003204640000149084,0.029508322200035762,0.0012886101999811217,0.0019292745999337057,0.001946173199939949
480,1.205200032927678e-06,0.00011080919994128635,0.00012090580003132345,0.00032761020001998987,0.00031816899995646964,0.02859584839998206,0.001284447399984856,0.0020029437999710352,0.0017984650000471448
481,1.2464000064937864e-06,0.00011200880003343627,0.00012226320000081615,0.0003245415999572288,0.0003182373999152333,0.028535629800035166,0.0012849774000187608,0.0019283569999970496,0.002066314000012426
482,1.3512000350601737e-06,0.00011027620003005723,0.0001235283999449166,0.00032565579999754846,0.0003173432000039611,0.02855017860006228,0.0012871734000327705,0.001958032199945592,0.0020775940000021366
483,1.3945999853604007e-06,0.00011209720000806555,0.0001231138000093779,0.0003251282000746869,0.00031846920001044055,0.02847935839990896,0.0012959742000475671,0.0019548174000192375,0.0020966836000297917
484,1.2427500450939988e-06,0.00011390619997655448,0.00012184419997538499,0.0003271938000125374,0.00031999339994399635,0.028888225999935457,0.001292944599981638,0.0019702581999354154,0.002116823200003637
485,1.3070000022707972e-06,0.0001153018000877637,0.00012280020000616788,0.0003294091999578086,0.0003196892000232765,0.028954752999925403,0.0013048660000549717,0.001947820400027922,0.002135504200032301
486,1.1500000255182385e-06,0.00011359039995113562,0.00012250340000719007,0.0003292187999704765,0.00032162319998860764,0.02878355200000442,0.0013005358000100387,0.001968846800036772,0.0021174784000777434
487,1.3146000128472224e-06,0.0001120859999446111,0.00012369079995551148,0.0003301159999864467,0.00032248339998659504,0.028778587799979504,0.001300711799922283,0.0019700616000136507,0.002116165799998271
488,1.3390000276558568e-06,0.00011300239993943251,0.00012184479996903974,0.0003281968000010238,0.00032284240010085343,0.03180156519997581,0.0013059467999937623,0.0020502313999713807,0.002103345600062312
489,1.2188000255264342e-06,0.00011245579999012989,0.00012453520007511544,0.00032989300002554954,0.0003232713999750558,0.02910019059995648,0.0013081877999866266,0.001981921000060538,0.002137267799935216
490,1.3410000065050554e-06,0.00011778279999816733,0.0001227816000209714,0.00032960319999801867,0.00032440540003335626,0.02909001560001343,0.0013162430000193126,0.001987755400023161,0.002123834799976976
491,1.4087999716139165e-06,0.00011378720005268405,0.00012535799992292597,0.0003311447999749362,0.0003237937999529095,0.029294309799934127,0.0013134384000750288,0.00199827219994404,0.002124458600064827
492,1.2914000308228425e-06,0.00011530739998306671,0.00012291759994695895,0.0003331981999963318,0.0003246045999276248,0.029167857400034337,0.002622005800003535,0.0024960962000477593,0.002185597000061534
493,1.3123998996888985e-06,0.0001137766000283591,0.00012338120000094933,0.00033430099997531213,0.00032510439996258356,0.02946749880002244,0.001321754999935365,0.0020169814000837506,0.0021846724000624818
494,1.3613999726658222e-06,0.00011431200005063147,0.00012273060001462,0.000333095600035449,0.00032761899997240106,0.029037401999994474,0.0013234123999609436,0.002002708400004849,0.0021910916000251746
495,1.333799946223735e-06,0.0001148289999946428,0.00012369660007607308,0.0003353103999415907,0.0003272422000009101,0.029378415600058362,0.001325829200050066,0.0020242409999809753,0.002181462599992301
496,1.1936000191781205e-06,0.00011530940000739064,0.00012270520001038675,0.00033483960000921795,0.0003285195999978896,0.02950565500009361,0.0013271981999878335,0.0020911220000471077,0.0021913928000230954
497,1.082399967344827e-06,0.00011274260000391224,0.00012204540003040165,0.0003341337999700045,0.0003281886000422674,0.030472477599960256,0.001330242600033671,0.0020160144000328727,0.0021693082000183495
498,1.2244000117789256e-06,0.00011352340002304117,0.00012366779997137202,0.0003350491999754013,0.0003288089999841759,0.029568451200066192,0.0013362204000259225,0.0020291608000206907,0.0021761850000530103
499,1.2315999811107758e-06,0.00011377040004845185,0.00012456200001906837,0.0003374130000338482,0.00032905439998103246,0.029682203000038498,0.0013400686000295536,0.00205368299998554,0.0021884033999867826
500,1.2347999472694936e-06,0.00011350640002092405,0.00012496099998315913,0.0003384833999461989,0.0003309407999495306,0.029541507999965688,0.0013422741999420396,0.0020470330000534886,0.002185567600054128
501,1.1767999694711762e-06,0.00011464100002740451,0.00012665940002989373,0.0003388954000001831,0.00032943920000434447,0.02882291239998267,0.0013510922000023128,0.0020950904000073935,0.0022205098000085853
502,1.2087999948562355e-06,0.00011565700001483492,0.0001283331999729853,0.00033746760000212815,0.00033381060002284356,0.02997826159999022,0.0013546380000207137,0.0020715740000014195,0.0022319656000036048
503,1.2301999959163367e-06,0.00011674080001284892,0.00012665059998653305,0.00033991400000559223,0.0003325604000565363,0.030156009399979665,0.0013550797999869247,0.002084560799949031,0.00224781079996319
504,1.3243999546830309e-06,0.00011874199999510893,0.0001270957999622624,0.00033932660003301864,0.00033322560002488897,0.030164735600010317,0.0013605074000224704,0.0021492924000085624,0.0022034899999653136
505,1.4217999705579133e-06,0.00011784220000663482,0.00012632859998120693,0.00034081820003848404,0.000332352799932778,0.03254047760001413,0.0017371508000451285,0.002118294400088416,0.002509177599949908
506,1.1782000456150853e-06,0.00011904639995918842,0.00012700059996859637,0.0003422281999974075,0.0003339919999234553,0.030097980000027745,0.0013584088000698103,0.0020784891999937826,0.002242380999996385
